species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm Hs	FUT9	Proximal tubule cells	Fuc-TIX	0.044	fucosyltransferase 9	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	KHK	Proximal tubule cells	NA	0.034	ketohexokinase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC4A4	Proximal tubule cells	NBC1|HNBC1|NBC2|pNBC|hhNMC|SLC4A5	0.034	solute carrier family 4 member 4	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	GLYAT	Proximal tubule cells	GAT|ACGNAT	0.005	glycine-N-acyltransferase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	FBP1	Proximal tubule cells	NA	0.018	fructose-bisphosphatase 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC22A6	Proximal tubule cells	ROAT1|PAHT|OAT1	0.004	solute carrier family 22 member 6	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC22A12	Proximal tubule cells	OAT4L|RST|URAT1	0.003	solute carrier family 22 member 12	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC47A1	Proximal tubule cells	FLJ10847|MATE1	0.003	solute carrier family 47 member 1	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	NOX4	Proximal tubule cells	KOX-1|KOX	0.003	NADPH oxidase 4	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC17A1	Proximal tubule cells	NAPI-1|NPT1	0.002	solute carrier family 17 member 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC13A3	Proximal tubule cells	NADC3|SDCT2	0.003	solute carrier family 13 member 3	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CYP2E1	Proximal tubule cells	CYP2E	0.004	cytochrome P450 family 2 subfamily E member 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC22A8	Proximal tubule cells	OAT3	0.024	solute carrier family 22 member 8	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	FOLR1	Proximal tubule cells	FOLR	0.015	folate receptor 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC7A13	Proximal tubule cells	AGT-1|XAT2	0.001	solute carrier family 7 member 13	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	AK4	Proximal tubule cells	AK3	0.007	adenylate kinase 4	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC5A8	Proximal tubule cells	AIT	0.001	solute carrier family 5 member 8	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC22A1	Proximal tubule cells	NA	0.003	solute carrier family 22 member 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	GHR	Proximal tubule cells	GHBP	0.017	growth hormone receptor	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	UPB1	Proximal tubule cells	BUP1	0.001	beta-ureidopropionase 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC17A3	Proximal tubule cells	NPT4	0.002	solute carrier family 17 member 3	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	GCDH	Proximal tubule cells	ACAD5	0.006	glutaryl-CoA dehydrogenase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	GSTZ1	Proximal tubule cells	GSTZ1-1|MAAI|MAI	0.024	glutathione S-transferase zeta 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ASL	Proximal tubule cells	NA	0.012	argininosuccinate lyase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	FAH	Proximal tubule cells	NA	0.008	fumarylacetoacetate hydrolase	protein-coding gene	1	Mesoderm	Kidney
Mm	SLCO1A6	Proximal tubule cells	NA	0.001	solute carrier organic anion transporter family, member 1a6	protein coding gene	1	Mesoderm	Kidney
Mm	ECI3	Proximal tubule cells	NA	0.001	enoyl-Coenzyme A delta isomerase 3	protein coding gene	1	Mesoderm	Kidney
Mm Hs	TMEM106A	Proximal tubule cells	MGC20235	0.011	transmembrane protein 106A	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	GSTA2	Proximal tubule cells	GST2	0.008	glutathione S-transferase alpha 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	CRYL1	Proximal tubule cells	lambda-CRY|MGC149525|MGC149526	0.016	crystallin lambda 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC5A12	Proximal tubule cells	MGC52019|SMCT2	0.001	solute carrier family 5 member 12	protein-coding gene	1	Mesoderm	Kidney
Mm	KAP	Proximal tubule cells	NA	0.01	kidney androgen regulated protein	protein coding gene	1	Mesoderm	Kidney
Mm Hs	AOAH	Proximal tubule cells	NA	0.003	acyloxyacyl hydrolase	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	SLC13A1	Proximal tubule cells	NaSi-1|NAS1	0.001	solute carrier family 13 member 1	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ABCC2	Proximal tubule cells	DJS|cMRP|CMOAT	0.003	ATP binding cassette subfamily C member 2	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	PKHD1	Proximal tubule cells	ARPKD|FCYT|FPC|TIGM1	0.005	PKHD1, fibrocystin/polyductin	protein-coding gene	NA	Mesoderm	Kidney
Mm Hs	SLC9A8	Proximal tubule cells	KIAA0939|NHE8	0.001	solute carrier family 9 member A8	protein-coding gene	1	Mesoderm	Kidney
Mm	SLC22A19	Proximal tubule cells	NA	0.0	solute carrier family 22 (organic anion transporter), member 19	protein coding gene	1	Mesoderm	Kidney
None	TMEM27	Proximal tubule cells	NA	0.01	NA	NA	1	Mesoderm	Kidney
Mm Hs	SCIN	Proximal tubule cells	KIAA1905	0.004	scinderin	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	ALPL	Proximal tubule cells	TNSALP|TNALP|TNAP|HOPS	0.008	alkaline phosphatase, liver/bone/kidney	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	G6PC	Proximal tubule cells	GSD1a|G6PT	0.002	glucose-6-phosphatase catalytic subunit	protein-coding gene	1	Mesoderm	Kidney
Mm	KEG1	Proximal tubule cells	NA	0.005	kidney expressed gene 1	protein coding gene	1	Mesoderm	Kidney
Mm Hs	SLC22A13	Proximal tubule cells	OCTL1|OCTL3|OAT10|ORCTL3	0.0	solute carrier family 22 member 13	protein-coding gene	1	Mesoderm	Kidney
Mm Hs	MMP11	Pulmonary alveolar type I cells	STMY3	0.008	matrix metallopeptidase 11	protein-coding gene	1	Endoderm	Lungs
Mm Hs	ICAM1	Pulmonary alveolar type I cells	CD54	0.008	intercellular adhesion molecule 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CTGF	Pulmonary alveolar type I cells	IGFBP8|CCN2	0.026	connective tissue growth factor	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SEMA3B	Pulmonary alveolar type I cells	SemA|semaV|LUCA-1|sema5|SEMAA	0.008	semaphorin 3B	protein-coding gene	1	Endoderm	Lungs
Mm	GRAMD2	Pulmonary alveolar type I cells	NA	0.002	GRAM domain containing 2	protein coding gene	1	Endoderm	Lungs
Mm Hs	SCNN1B	Pulmonary alveolar type I cells	ENaCbeta	0.003	sodium channel epithelial 1 beta subunit	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SEMA3E	Pulmonary alveolar type I cells	M-SemaK|KIAA0331|coll-5|SEMAH	0.005	semaphorin 3E	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SCNN1G	Pulmonary alveolar type I cells	ENaCgamma|SCNEG	0.002	sodium channel epithelial 1 gamma subunit	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SCNN1A	Pulmonary alveolar type I cells	ENaCalpha|SCNN1	0.007	sodium channel epithelial 1 alpha subunit	protein-coding gene	1	Endoderm	Lungs
Mm Hs	COL4A4	Pulmonary alveolar type I cells	CA44	0.007	collagen type IV alpha 4 chain	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CYP4B1	Pulmonary alveolar type I cells	NA	0.013	cytochrome P450 family 4 subfamily B member 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	RTKN2	Pulmonary alveolar type I cells	Em:AC024597.2|bA531F24.1|FLJ39352|PLEKHK1	0.008	rhotekin 2	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CLIC5	Pulmonary alveolar type I cells	DFNB102	0.012	chloride intracellular channel 5	protein-coding gene	1	Endoderm	Lungs
Mm	CYP2B10	Pulmonary alveolar type I cells	NA	0.003	cytochrome P450, family 2, subfamily b, polypeptide 10	protein coding gene	1	Endoderm	Lungs
Mm Hs	AKAP5	Pulmonary alveolar type I cells	AKAP75|AKAP79	0.006	A-kinase anchoring protein 5	protein-coding gene	1	Endoderm	Lungs
Mm Hs	GPRC5A	Pulmonary alveolar type I cells	RAIG1|PEIG-1|RAI3	0.013	G protein-coupled receptor class C group 5 member A	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SEC14L3	Pulmonary alveolar type I cells	TAP2	0.003	SEC14 like lipid binding 3	protein-coding gene	1	Endoderm	Lungs
Mm Hs	COL4A3	Pulmonary alveolar type I cells	NA	0.006	collagen type IV alpha 3 chain	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CLDN18	Pulmonary alveolar type I cells	SFTPJ	0.005	claudin 18	protein-coding gene	1	Endoderm	Lungs
Mm Hs	AGER	Pulmonary alveolar type I cells	SCARJ1	0.005	advanced glycosylation end-product specific receptor	protein-coding gene	1	Endoderm	Lungs
Mm Hs	HOPX	Pulmonary alveolar type I cells	LAGY|OB1|NECC1|SMAP31	0.031	HOP homeobox	protein-coding gene	1	Endoderm	Lungs
Mm Hs	AQP5	Pulmonary alveolar type I cells	NA	0.018	aquaporin 5	protein-coding gene	1	Endoderm	Lungs
Mm Hs	EMP2	Pulmonary alveolar type I cells	XMP	0.057	epithelial membrane protein 2	protein-coding gene	1	Endoderm	Lungs
Mm Hs	VEGFA	Pulmonary alveolar type I cells	VEGF-A|VPF|VEGF	0.018	vascular endothelial growth factor A	protein-coding gene	1	Endoderm	Lungs
Mm Hs	KRT7	Pulmonary alveolar type I cells	CK7|K2C7	0.049	keratin 7	protein-coding gene	1	Endoderm	Lungs
Mm Hs	IGFBP6	Pulmonary alveolar type I cells	NA	0.038	insulin like growth factor binding protein 6	protein-coding gene	1	Endoderm	Lungs
Mm Hs	PXDC1	Pulmonary alveolar type I cells	C6orf145	0.025	PX domain containing 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	AQP3	Pulmonary alveolar type I cells	GIL	0.018	aquaporin 3 (Gill blood group)	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CRLF1	Pulmonary alveolar type I cells	CLF-1|CISS|CISS1	0.015	cytokine receptor like factor 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	EGFL6	Pulmonary alveolar type I cells	MAEG	0.007	EGF like domain multiple 6	protein-coding gene	1	Endoderm	Lungs
Mm Hs	FSTL3	Pulmonary alveolar type I cells	FLRG|FSRP	0.003	follistatin like 3	protein-coding gene	1	Endoderm	Lungs
Mm Hs	MEX3B	Pulmonary alveolar type I cells	DKFZp434J0617|RNF195|RKHD3	0.005	mex-3 RNA binding family member B	protein-coding gene	1	Endoderm	Lungs
Mm Hs	RADIL	Pulmonary alveolar type I cells	FLJ10324|KIAA1849|RASIP2	0.001	Rap associating with DIL domain	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SMARCA1	Pulmonary alveolar type I cells	NURF140|SWI|hSNF2L|SNF2L1|SNF2L	0.015	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	P2RX7	Pulmonary alveolar type I cells	P2X7|MGC20089	0.005	purinergic receptor P2X 7	protein-coding gene	1	Endoderm	Lungs
Mm Hs	IRX1	Pulmonary alveolar type II cells	IRX-5	0.008	iroquois homeobox 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	EGFL6	Pulmonary alveolar type II cells	MAEG	0.007	EGF like domain multiple 6	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CEBPA	Pulmonary alveolar type II cells	C/EBP-alpha|CEBP	0.018	CCAAT enhancer binding protein alpha	protein-coding gene	1	Endoderm	Lungs
Mm Hs	NKX2-1	Pulmonary alveolar type II cells	TTF-1|TTF1|NKX2A|BCH|TITF1	0.006	NK2 homeobox 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	MUC1	Pulmonary alveolar type II cells	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1	0.009	mucin 1, cell surface associated	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CLDN18	Pulmonary alveolar type II cells	SFTPJ	0.005	claudin 18	protein-coding gene	1	Endoderm	Lungs
Mm Hs	AGER	Pulmonary alveolar type II cells	SCARJ1	0.005	advanced glycosylation end-product specific receptor	protein-coding gene	1	Endoderm	Lungs
Mm Hs	LAMP3	Pulmonary alveolar type II cells	TSC403|DC-LAMP|DCLAMP|CD208	0.004	lysosomal associated membrane protein 3	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SFTA2	Pulmonary alveolar type II cells	SFTPG	0.003	surfactant associated 2	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SFTPD	Pulmonary alveolar type II cells	SP-D|COLEC7|SFTP4	0.004	surfactant protein D	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SLC34A2	Pulmonary alveolar type II cells	NAPI-3B	0.003	solute carrier family 34 member 2	protein-coding gene	1	Endoderm	Lungs
Mm	CXCL15	Pulmonary alveolar type II cells	NA	0.005	chemokine (C-X-C motif) ligand 15	protein coding gene	1	Endoderm	Lungs
Mm Hs	SFTPB	Pulmonary alveolar type II cells	SP-B|SFTP3	0.007	surfactant protein B	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SFTPA1	Pulmonary alveolar type II cells	SP-A|SP-A1|COLEC4|SFTP1	0.006	surfactant protein A1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SFTPC	Pulmonary alveolar type II cells	SP-C|PSP-C|SMDP2|BRICD6|SFTP2	0.01	surfactant protein C	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SDC1	Pulmonary alveolar type II cells	CD138|syndecan|SYND1|SDC	0.041	syndecan 1	protein-coding gene	NA	Endoderm	Lungs
Mm Hs	ADGRF5	Pulmonary alveolar type II cells	DKFZp564O1923|KIAA0758|GPR116	0.041	adhesion G protein-coupled receptor F5	protein-coding gene	1	Endoderm	Lungs
Mm Hs	ABCD3	Pulmonary alveolar type II cells	PMP70|ZWS2	0.039	ATP binding cassette subfamily D member 3	protein-coding gene	1	Endoderm	Lungs
Mm Hs	SOAT1	Pulmonary alveolar type II cells	STAT	0.032	sterol O-acyltransferase 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	ETV5	Pulmonary alveolar type II cells	ERM	0.016	ETS variant 5	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CD36	Pulmonary alveolar type II cells	SCARB3|GPIV|GP4|GP3B	0.032	CD36 molecule	protein-coding gene	1	Endoderm	Lungs
Mm Hs	LPCAT1	Pulmonary alveolar type II cells	FLJ12443|AYTL2	0.021	lysophosphatidylcholine acyltransferase 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	NAPSA	Pulmonary alveolar type II cells	NAPA|Kdap	0.043	napsin A aspartic peptidase	protein-coding gene	1	Endoderm	Lungs
Mm	CBR2	Pulmonary alveolar type II cells	NA	0.019	carbonyl reductase 2	protein coding gene	1	Endoderm	Lungs
Mm Hs	ABCA3	Pulmonary alveolar type II cells	ABC-C|EST111653|LBM180|ABC3	0.001	ATP binding cassette subfamily A member 3	protein-coding gene	1	Endoderm	Lungs
Mm	SCD1	Pulmonary alveolar type II cells	NA	0.032	stearoyl-Coenzyme A desaturase 1	protein coding gene	1	Endoderm	Lungs
Mm Hs	S100G	Pulmonary alveolar type II cells	CABP9K|CABP1|CALB3	0.021	S100 calcium binding protein G	protein-coding gene	1	Endoderm	Lungs
Mm	LYZ1	Pulmonary alveolar type II cells	NA	0.021	lysozyme 1	protein coding gene	1	Endoderm	Lungs
Mm Hs	PGC	Pulmonary alveolar type II cells	NA	0.004	progastricsin	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CXCR2	Pulmonary alveolar type II cells	CMKAR2|CD182|IL8RB	0.002	C-X-C motif chemokine receptor 2	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CXCL2	Pulmonary alveolar type II cells	SCYB2|GROb|MIP-2a|MGSA-b|CINC-2a|GRO2	0.032	C-X-C motif chemokine ligand 2	protein-coding gene	1	Endoderm	Lungs
Hs	GRK2	Pulmonary alveolar type II cells	BARK1|ADRBK1	0.001	G protein-coupled receptor kinase 2	protein-coding gene	1	Endoderm	Lungs
Mm Hs	RUNX3	Pulmonary alveolar type II cells	AML2|PEBP2A3|CBFA3	0.015	runt related transcription factor 3	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CTNND1	Pulmonary alveolar type II cells	KIAA0384|p120cas|p120ctn|CTNND	0.033	catenin delta 1	protein-coding gene	1	Endoderm	Lungs
Mm	CD59A	Pulmonary alveolar type II cells	NA	0.034	CD59a antigen	protein coding gene	1	Endoderm	Lungs
Mm Hs	PPP1R14C	Pulmonary alveolar type II cells	NY-BR-81|KEPI	0.024	protein phosphatase 1 regulatory inhibitor subunit 14C	protein-coding gene	1	Endoderm	Lungs
Mm Hs	DDX3Y	Pulmonary alveolar type II cells	DBY	0.026	DEAD-box helicase 3 Y-linked	protein-coding gene	1	Endoderm	Lungs
Mm Hs	PIGR	Pulmonary alveolar type II cells	NA	0.023	polymeric immunoglobulin receptor	protein-coding gene	1	Endoderm	Lungs
Mm	H2-Q6	Pulmonary alveolar type II cells	NA	0.018	histocompatibility 2, Q region locus 6	protein coding gene	1	Endoderm	Lungs
Mm	LY6I	Pulmonary alveolar type II cells	NA	0.002	lymphocyte antigen 6 complex, locus I	protein coding gene	1	Endoderm	Lungs
Mm	WFDC17	Pulmonary alveolar type II cells	NA	0.027	WAP four-disulfide core domain 17	protein coding gene	1	Endoderm	Lungs
Mm Hs	LRG1	Pulmonary alveolar type II cells	LRG	0.018	leucine rich alpha-2-glycoprotein 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	NRN1	Pulmonary alveolar type II cells	NRN	0.025	neuritin 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	PPBP	Pulmonary alveolar type II cells	SCYB7|TGB|NAP-2-L1|LA-PF4|MDGF|LDGF|Beta-TG|CTAP3|CXCL7|b-TG1|TGB1|CTAPIII|NAP-2|THBGB1	0.001	pro-platelet basic protein	protein-coding gene	1	Endoderm	Lungs
Mm Hs	IL1B	Pulmonary alveolar type II cells	IL1F2|IL-1B|IL1-BETA	0.022	interleukin 1 beta	protein-coding gene	1	Endoderm	Lungs
Mm Hs	INMT	Pulmonary alveolar type II cells	NA	0.012	indolethylamine N-methyltransferase	protein-coding gene	1	Endoderm	Lungs
Mm Hs	CRLF1	Pulmonary alveolar type II cells	CLF-1|CISS|CISS1	0.015	cytokine receptor like factor 1	protein-coding gene	1	Endoderm	Lungs
Mm Hs	ANGPT1	Pulmonary vascular smooth muscle cells	KIAA0003|Ang1	0.011	angiopoietin 1	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	PDGFRB	Pulmonary vascular smooth muscle cells	JTK12|CD140b|PDGFR1|PDGFR	0.031	platelet derived growth factor receptor beta	protein-coding gene	NA	Mesoderm	Smooth muscle
Mm Hs	GJA5	Purkinje fiber cells	CX40	0.002	gap junction protein alpha 5	protein-coding gene	NA	Mesoderm	Heart
Mm Hs	B3GAT1	Purkinje fiber cells	GlcAT-P|HNK-1|NK-1|CD57|LEU7	0.016	beta-1,3-glucuronyltransferase 1	protein-coding gene	NA	Mesoderm	Heart
Mm Hs	GJC1	Purkinje fiber cells	CX45|GJA7	0.028	gap junction protein gamma 1	protein-coding gene	NA	Mesoderm	Heart
Mm Hs	KCNK3	Purkinje fiber cells	K2p3.1|TASK|TASK-1	0.005	potassium two pore domain channel subfamily K member 3	protein-coding gene	NA	Mesoderm	Heart
Mm Hs	NEFM	Purkinje fiber cells	NFM|NF-M|NEF3	0.032	neurofilament medium	protein-coding gene	NA	Mesoderm	Heart
Mm Hs	CALB1	Purkinje neurons	CALB	0.021	calbindin 1	protein-coding gene	1	Ectoderm	Brain
Mm Hs	ABAT	Purkinje neurons	GABAT	0.036	4-aminobutyrate aminotransferase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GRIN1	Purkinje neurons	GluN1|NMDAR1	0.012	glutamate ionotropic receptor NMDA type subunit 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GAD1	Purkinje neurons	GAD	0.031	glutamate decarboxylase 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HDAC6	Purkinje neurons	KIAA0901|JM21|HD6|FLJ16239|PPP1R90	0.007	histone deacetylase 6	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PRKG1	Purkinje neurons	PGK|PKG|PKG1|PRKGR1B|PRKG1B	0.003	protein kinase cGMP-dependent 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ATP2B2	Purkinje neurons	PMCA2	0.045	ATPase plasma membrane Ca2+ transporting 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PDE5A	Purkinje neurons	NA	0.011	phosphodiesterase 5A	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ITPR3	Purkinje neurons	IP3R3	0.007	inositol 1,4,5-trisphosphate receptor type 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PDE1B	Purkinje neurons	PDES1B	0.007	phosphodiesterase 1B	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PDE1A	Purkinje neurons	NA	0.02	phosphodiesterase 1A	protein-coding gene	NA	Ectoderm	Brain
Mm	CAR8	Purkinje neurons	NA	0.009	carbonic anhydrase 8	protein coding gene	NA	Ectoderm	Brain
Mm Hs	OMP	Purkinje neurons	NA	0.002	olfactory marker protein	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PDE9A	Purkinje neurons	NA	0.001	phosphodiesterase 9A	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CBLN1	Purkinje neurons	NA	0.004	cerebellin 1 precursor	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	MRPS35	Purkinje neurons	MRPS28|MDS023	0.046	mitochondrial ribosomal protein S35	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PVALB	Purkinje neurons	D22S749	0.005	parvalbumin	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SHANK2	Purkinje neurons	CTTNBP1|ProSAP1|SHANK|SPANK-3|CORTBP1	0.003	SH3 and multiple ankyrin repeat domains 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CACNA2D2	Purkinje neurons	KIAA0558	0.025	calcium voltage-gated channel auxiliary subunit alpha2delta 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NKAIN4	Purkinje neurons	bA261N11.2|FAM77A|C20orf58	0.038	sodium/potassium transporting ATPase interacting 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CNTNAP2	Purkinje neurons	Caspr2|KIAA0868	0.041	contactin associated protein like 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TH	Purkinje neurons	DYT5b	0.002	tyrosine hydroxylase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CERK	Purkinje neurons	hCERK|FLJ23239|dA59H18.3|DKFZp434E0211|FLJ21430|KIAA1646|LK4|dA59H18.2	0.012	ceramide kinase	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CD3G	Purkinje neurons	NA	0.037	CD3g molecule	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	KCNA2	Purkinje neurons	Kv1.2	0.023	potassium voltage-gated channel subfamily A member 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC22A15	Purkinje neurons	FLIPT1	0.02	solute carrier family 22 member 15	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CACNG2	Purkinje neurons	stargazin|MGC138502|MGC138504	0.017	calcium voltage-gated channel auxiliary subunit gamma 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SYT2	Purkinje neurons	NA	0.003	synaptotagmin 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CPLX1	Purkinje neurons	CPX-I	0.031	complexin 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PKP4	Purkinje neurons	p0071	0.031	plakophilin 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	KCNMA1	Purkinje neurons	KCa1.1|mSLO1|SLO	0.044	potassium calcium-activated channel subfamily M alpha 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	ADGRB1	Purkinje neurons	BAI1	0.022	adhesion G protein-coupled receptor B1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HCN1	Purkinje neurons	BCNG-1|HAC-2|BCNG1	0.005	hyperpolarization activated cyclic nucleotide gated potassium channel 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC24A2	Purkinje neurons	NCKX2	0.024	solute carrier family 24 member 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GABRA1	Purkinje neurons	EJM5	0.029	gamma-aminobutyric acid type A receptor alpha1 subunit	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CLSTN3	Purkinje neurons	CSTN3|KIAA0726|CDHR14	0.034	calsyntenin 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC24A3	Purkinje neurons	NA	0.015	solute carrier family 24 member 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	DLG4	Purkinje neurons	PSD-95|PSD95|SAP90|SAP-90	0.028	discs large MAGUK scaffold protein 4	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CNPY1	Purkinje neurons	NA	0.0	canopy FGF signaling regulator 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC12A5	Purkinje neurons	KIAA1176|KCC2	0.043	solute carrier family 12 member 5	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	SLC32A1	Purkinje neurons	VGAT|bA122O1.1|VIAAT	0.025	solute carrier family 32 member 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GRIA3	Purkinje neurons	GluA3|GLURC|MRX94|GLUR3	0.016	glutamate ionotropic receptor AMPA type subunit 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	CAMK2A	Purkinje neurons	KIAA0968|CAMKA	0.027	calcium/calmodulin dependent protein kinase II alpha	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PENK	Purkinje neurons	NA	0.021	proenkephalin	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	HIVEP2	Purkinje neurons	MBP-2|HIV-EP2|MIBP1|ZAS2|Schnurri-2|ZNF40B	0.056	human immunodeficiency virus type I enhancer binding protein 2	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	NRIP3	Purkinje neurons	C11orf14	0.024	nuclear receptor interacting protein 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	TSHZ1	Purkinje neurons	NY-CO-33|SDCCAG33	0.014	teashirt zinc finger homeobox 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PCBP3	Purkinje neurons	FLJ44028|PCBP3-OT1|PCBP3OT	0.023	poly(rC) binding protein 3	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	GPSM1	Purkinje neurons	DKFZP727I051	0.005	G protein signaling modulator 1	protein-coding gene	NA	Ectoderm	Brain
Mm Hs	PPM1E	Purkinje neurons	POPX1|KIAA1072|PP2CH|CaMKP-N	0.017	protein phosphatase, Mg2+/Mn2+ dependent 1E	protein-coding gene	NA	Ectoderm	Brain
